STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
8,Biểu đồ thống kê đánh giá hiệu quả hỗ trợ pháp lý,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,"Trực quan hóa dữ liệu đánh giá chất lượng hỗ trợ, bao gồm điểm hài lòng và tỷ lệ tuân thủ (thời hạn xử lý).",B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP xem biểu đồ thống kê đánh giá hiệu quả hỗ trợ pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị biểu đồ thống kê đánh giá hiệu quả hỗ trợ pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc điều kiện để xem biểu đồ thống kê đánh giá hiệu quả hỗ trợ pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị biểu đồ thống kê đánh giá hiệu quả hỗ trợ pháp lý theo điều kiện lọc.",,,,
9,Biểu đồ thống kê chất lượng đào tạo bồi dưỡng pháp lý,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,"Trực quan hóa dữ liệu về hiệu quả đào tạo (ví dụ: Tỷ lệ đạt chứng nhận, điểm trung bình kiểm tra).",B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP xem biểu đồ thống kê chất lượng đào tạo bồi dưỡng pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị biểu đồ thống kê chất lượng đào tạo bồi dưỡng pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc điều kiện để xem biểu đồ thống kê chất lượng đào tạo bồi dưỡng pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị biểu đồ thống kê chất lượng đào tạo bồi dưỡng pháp lý theo điều kiện lọc.",,,,
II,"Quản lý tiếp nhận hỏi đáp, vướng mắc pháp lý",,,,,,
II.1,"Quản lý tổng hợp hỏi đáp, vướng mắc pháp lý",,,,,,
10,"Quản lý thông tin hỏi đáp, vướng mắc pháp lý","Cán bộ nghiệp vụ TW,BN,ĐP",,"Quản lý các trường dữ liệu chi tiết của từng yêu cầu (nội dung, người gửi, lĩnh vực, thời gian gửi...).",B,Phức tạp,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hỏi đáp, vướng mắc pháp lý.",,,,
