STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
43,Quản lý hồ sơ tư vấn viên,"Cán bộ nghiệp vụ TW,BN,ĐP",,Quản lý các trường dữ liệu chi tiết của từng hồ sơ tư vấn viên.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập từ khóa tìm kiếm thông tin hồ sơ tư vấn viên;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xuất file hồ sơ tư vấn viên;
Hệ thống kiểm tra điều kiện và thực hiện xuất file hồ sơ tư vấn viên.",,,,
44,Thẩm định hồ sơ tư vấn viên,"Cán bộ nghiệp vụ TW,BN,ĐP",,"Cung cấp quy trình để CB Nghiệp vụ xem xét, xác minh tính hợp lệ và năng lực của hồ sơ đăng ký.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ tư vấn viên chờ thẩm định;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ tư vấn viên chờ thẩm định.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ tư vấn viên để thẩm định;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP gửi yêu cầu bổ sung thông tin đối với hồ sơ chưa đầy đủ;
Hệ thống kiểm tra điều kiện, cập nhật trạng thái hồ sơ và thông báo yêu cầu bổ sung đến người đăng ký.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập nhận xét và kết quả thẩm định hồ sơ;
Hệ thống lưu trữ kết quả thẩm định và cập nhật trạng thái hồ sơ.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP trình phê duyệt hồ sơ tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận trình phê duyệt hồ sơ tư vấn viên.",Trình phê duyệt hồ sơ tư vấn viên,,,xxx
45,Phê duyệt hồ sơ tư vấn viên,"Cán bộ phê duyệt TW,BN,ĐP",,CB Phê duyệt xem xét và phê duyệt hồ sơ đã thẩm định để công nhận Tư vấn viên.,B,Đơn giản,
,,,"Cán bộ phê duyệt TW,BN,ĐP phê duyệt hồ sơ tư vấn viên;
Hệ thống hiển thị màn hình xác nhận phê duyệt hồ sơ tư vấn viên.",,,,
,,,"Cán bộ phê duyệt TW,BN,ĐP chọn xác nhận phê duyệt hồ sơ tư vấn viên;
Hệ thống kiểm tra điều kiện và thực hiện xác nhận phê duyệt hồ sơ tư vấn viên thành công.",,,,
46,Cập nhật danh sách mạng lưới tư vấn viên,"Cán bộ nghiệp vụ TW,BN,ĐP",,Thực hiện cập nhật danh sách các tư vấn viên đã được phê duyệt lên Cổng công khai.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP cập nhật danh sách mạng lưới tư vấn viên công khai lên chuyên trang;
Hệ thống ghi nhận và hiển thị tư vấn viên đó vào danh sách mạng lưới tư vấn viên trên chuyên trang.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP hủy bỏ tư vấn viên khỏi danh sách công khai;
Hệ thống cập nhật danh sách hiển thị và ngừng công khai thông tin tư vấn viên đó trên chuyên trang.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách mạng lưới tư vấn viên đã công khai;
Hệ thống hiển thị danh sách mạng lưới tư vấn viên đã công khai.",Xem danh sách mạng lưới tư vấn viên đã công khai,,,xxx
47,Đánh giá tư vấn viên,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP/Doanh nghiệp",,"Cung cấp công cụ để CB Nghiệp vụ, Lãnh đạo, hoặc DNNVV đánh giá chất lượng và hiệu quả hỗ trợ của từng Tư vấn viên.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP/Doanh nghiệp xem danh sách tư vấn viên cần đánh giá chất lượng và hiệu quả hỗ trợ;
Hệ thống kiểm tra điều kiện và hiển thị danh sách tư vấn viên cần đánh giá chất lượng và hiệu quả hỗ trợ.",Xem danh sách tư vấn viên cần đánh giá chất lượng và hiệu quả hỗ trợ,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP/Doanh nghiệp chọn đánh giá tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị màn hình nhập đánh giá của tư vấn viên đã chọn.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP/Doanh nghiệp cập nhật đánh giá tư vấn viên;
Hệ thống kiểm tra điều kiện và lưu lại đánh giá tư vấn viên đã cập nhật.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP/Doanh nghiệp xem tổng hợp đánh giá tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị các đánh giá của tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP/Doanh nghiệp xuất kết quả tổng hợp đánh giá tư vấn viên;
Hệ thống kiểm tra điều kiện và thực hiện xuất kết quả tổng hợp đánh giá tư vấn viên.",,,,
48,Quản lý lịch sử hỗ trợ của tư vấn viên,"Cán bộ nghiệp vụ TW,BN,ĐP",,Ghi nhận và theo dõi lịch sử tham gia hỗ trợ vụ việc của từng Tư vấn viên.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách lịch sử hỗ trợ của tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị danh sách lịch sử hỗ trợ của tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết lịch sử hỗ trợ của tư vấn viên;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết lịch sử hỗ trợ của tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập từ khóa tìm kiếm thông tin lịch sử hỗ trợ của tư vấn viên;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP kết hợp nhiều điều kiện tìm kiếm lịch sử hỗ trợ của tư vấn viên;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo các điều kiện lọc.",,,,
49,Cập nhật thông tin tư vấn viên,Người hỗ trợ,,"Thực hiện chỉnh sửa thông tin chi tiết của Tư vấn viên (địa chỉ, số điện thoại, lĩnh vực chuyên môn).",B,Đơn giản,
,,,"Người hỗ trợ lựa chọn cập nhật thông tin của mình;
Hệ thống kiểm tra điều kiện và hiển thị màn hình cập nhật thông tin tư vấn viên.",,,,
,,,"Người hỗ trợ cập nhật thông tin của mình;
Hệ thống kiểm tra điều kiện và lưu lại dữ liệu đã cập nhật thông tin tư vấn viên.",,,,
,,,"Người hỗ trợ xem lại thông tin đã cập nhật;
Hệ thống hiển thị thông tin của tư vấn viên sau khi đã cập nhật.",Xem lại thông tin đã cập nhật của tư vấn viên,,,xxx
50,Cập nhật trạng thái hoạt động của tư vấn viên,"Cán bộ nghiệp vụ TW,BN,ĐP",,"Thay đổi trạng thái hoạt động (Đang hoạt động, Tạm dừng, Vô hiệu hóa) của Tư vấn viên.",B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lựa chọn tư vấn viên cần cập nhật trạng thái hoạt động;
Hệ thống kiểm tra điều kiện và hiển thị màn hình cập nhật trạng thái hoạt động của tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP cập nhật trạng thái hoạt động của tư vấn viên;
Hệ thống kiểm tra điều kiện và lưu lại dữ liệu trạng thái hoạt động của tư vấn viên.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem lại trạng thái hoạt động của tư vấn viên đã cập nhật;
Hệ thống hiển thị trạng thái hoạt động của tư vấn viên sau khi đã cập nhật.",Xem lại trạng thái hoạt động của tư vấn viên sau khi đã cập nhật,,,xxx
V,Quản lý vụ việc trợ giúp pháp lý,,,,,,
V.I,Quản lý tiếp nhận vụ việc,,,,,,
51,Quản lý hồ sơ yêu cầu hỗ trợ pháp lý,"Cán bộ nghiệp vụ TW,BN,ĐP",,Quản lý các trường dữ liệu và tài liệu đính kèm của hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVV.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập từ khóa tìm kiếm thông tin hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem tài liệu đính kèm nếu có trong hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xem tài liệu đính kèm trong hồ sơ yêu cầu hỗ trợ pháp lý từ DNNVVV.",,,,
52,Gửi hồ sơ yêu cầu hỗ trợ pháp lý,Doanh nghiệp,,Cung cấp giao diện cho DNNVV gửi hồ sơ yêu cầu hỗ trợ pháp lý trực tuyến.,B,Đơn giản,
,,,"Doanh nghiệp nhập thông tin cần hỗ trợ, tải lên tài liệu đính kèm nếu có và gửi hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị xác nhận gửi hồ sơ yêu cầu hỗ trợ pháp lý.",(cập nhật lại trans),,,xxx
,,,"Doanh nghiệp xác nhận gửi hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống lưu lại dữ liệu hồ sơ yêu cầu hỗ trợ pháp lý.",(cập nhật lại trans),,,xxx
,,,"Doanh nghiệp xem lại thông tin hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống hiển thị thông tin chi tiết hồ sơ yêu cầu hỗ trợ pháp lý.",(cập nhật lại trans),,,xxx
53,Tiếp nhận hồ sơ qua dịch vụ công,Hệ thống giải quyết thủ tục hành chính BTP,,Quản lý quy trình và giao diện tiếp nhận hồ sơ yêu cầu hỗ trợ pháp lý thông qua hệ thống Dịch vụ công trực tuyến.,M,Trung bình,
,,,"Hệ thống giải quyết thủ tục hành chính BTP gửi hồ sơ qua dịch vụ công sang hệ thống;
Hệ thống tiếp nhận dữ liệu hồ sơ, kiểm tra cấu trúc dữ liệu, định dạng và tính đầy đủ của thông tin.",,,,
,,,"Hệ thống giải quyết thủ tục hành chính BTP hoàn tất việc truyền dữ liệu hồ sơ hợp lệ sang hệ thống;
Hệ thống tiếp nhận đầy đủ dữ liệu, tạo mới hồ sơ yêu cầu hỗ trợ pháp lý doanh nghiệp, sinh mã hồ sơ.",,,,
,,,"Hệ thống giải quyết thủ tục hành chính BTP yêu cầu cập nhật trạng thái hồ sơ;
Hệ thống phản hồi trạng thái tiếp nhận (thành công/thất bại) về Hệ thống giải quyết thủ tục hành chính BTP.",,,,
,,,"Hệ thống giải quyết thủ tục hành chính BTP nhận thông tin kết thúc xử lý tiếp nhận hồ sơ;
Hệ thống lưu trữ hồ sơ và đưa hồ sơ vào danh sách chờ xử lý cho cán bộ nghiệp vụ.",,,,
54,Nhập hồ sơ yêu cầu,"Cán bộ nghiệp vụ TW,BN,ĐP",,"Cung cấp giao diện cho CB Nghiệp vụ nhập hồ sơ yêu cầu hỗ trợ pháp lý thủ công (từ văn bản giấy, điện thoại...).",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ yêu cầu từ văn bản giấy, điện thoại...;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ yêu cầu từ văn bản giấy, điện thoại....",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ yêu cầu từ văn bản giấy, điện thoại...;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ yêu cầu.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP thêm mới hồ sơ yêu cầu từ văn bản giấy, điện thoại...;
Hệ thống kiểm tra điều kiện và hiển thị màn hình thêm mới hồ sơ yêu cầu.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chỉnh sửa hồ sơ yêu cầu từ văn bản giấy, điện thoại...;
Hệ thống kiểm tra điều kiện và hiển thị màn hình chỉnh sửa hồ sơ yêu cầu.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xóa hồ sơ yêu cầu từ văn bản giấy, điện thoại...;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận trước khi xóa hồ sơ yêu cầu.",,,,
55,Tiếp nhận hồ sơ từ hệ thống khác,"Cán bộ nghiệp vụ TW,BN,ĐP",,Quản lý quy trình tiếp nhận hồ sơ yêu cầu hỗ trợ pháp lý từ hệ thống khác,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ từ hệ thống khác;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ từ hệ thống khác.",,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ từ hệ thống khác;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ từ hệ thống khác.",,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập từ khóa tìm kiếm thông tin hồ sơ từ hệ thống khác;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xóa hồ sơ từ hệ thống khác;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận trước khi xóa hồ sơ từ hệ thống khác.",,,,xxx
56,Kiểm tra hồ sơ yêu cầu hỗ trợ pháp lý,"Cán bộ nghiệp vụ TW,BN,ĐP",,"Cung cấp công cụ để CB Nghiệp vụ kiểm tra tính đầy đủ, hợp lệ của hồ sơ yêu cầu.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ yêu cầu hỗ trợ pháp lý chờ kiểm tra;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ yêu cầu hỗ trợ pháp lý chờ kiểm tra.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ yêu cầu hỗ trợ pháp lý để kiểm tra;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ yêu cầu hỗ trợ pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP gửi yêu cầu bổ sung thông tin đối với hồ sơ chưa đầy đủ;
Hệ thống kiểm tra điều kiện, cập nhật trạng thái hồ sơ và thông báo yêu cầu bổ sung đến người đăng ký.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập nhận xét và kết quả kiểm tra hồ sơ;
Hệ thống lưu trữ kết quả kiểm tra và cập nhật trạng thái hồ sơ (Đạt/Không đạt).",,,,
57,Quản lý hồ sơ vụ việc,"Cán bộ nghiệp vụ TW,BN,ĐP",,"Quản lý toàn bộ hồ sơ vụ việc, bao gồm hồ sơ yêu cầu, tài liệu bổ sung và kết quả xử lý.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ vụ việc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hồ sơ vụ việc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chỉnh sửa thông tin hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình chỉnh sửa thông tin hồ sơ vụ việc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP tải lên tài liệu bổ sung hoặc cập nhật tài liệu hiện có trong hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và lưu lại tài liệu đã cập nhật trong hồ sơ vụ việc.",,,,
58,Tìm kiếm hồ sơ yêu cầu hỗ trợ pháp lý,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,"Tìm kiếm hồ sơ yêu cầu hỗ trợ pháp lý theo mã hồ sơ, tên doanh nghiệp, lĩnh vực.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP nhập từ khóa tìm kiếm thông tin hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc theo doanh nghiệp để tìm kiếm thông tin hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc theo lĩnh vực để tìm kiếm thông tin hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP kết hợp nhiều điều kiện tìm kiếm hồ sơ yêu cầu hỗ trợ pháp lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo các điều kiện lọc.",,,,
59,Lựa chọn người hỗ trợ cho vụ việc,"Cán bộ nghiệp vụ TW,BN,ĐP",,Cung cấp công cụ cho CB Nghiệp vụ để chọn Tư vấn viên hoặc Tổ chức tư vấn phù hợp cho vụ việc.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn phân công người hỗ trợ cho vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình chọn Tư vấn viên hoặc Tổ chức tư vấn phù hợp.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP tìm kiếm Tư vấn viên hoặc Tổ chức tư vấn phù hợp để hỗ trợ cho vụ việc;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị các Tư vấn viên hoặc Tổ chức tư vấn theo điều kiện đã tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lựa chọn Tư vấn viên hoặc Tổ chức tư vấn phù hợp để hỗ trợ cho vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận lựa chọn.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn xác nhận lựa chọn Tư vấn viên hoặc Tổ chức tư để hỗ trợ cho vụ việc;
Hệ thống kiểm tra điều kiện và chuyển vụ việc đến Tư vấn viên hoặc Tổ chức tư vấn đã chọn nếu hợp lệ.",,,,
60,Xác nhận tham gia hỗ trợ vụ việc,Người hỗ trợ,,Cung cấp chức năng để Người hỗ trợ xác nhận tiếp nhận và tham gia hỗ trợ vụ việc được phân công.,B,Đơn giản,
,,,"Người hỗ trợ xem thông tin yêu cầu hỗ trợ vụ việc;
Hệ thống hiển thị thông tin yêu cầu hỗ trợ vụ việc đã được gửi đến Người hỗ trợ.",(Cập nhật trans này),,,xxx
,,,"Người hỗ trợ chọn xác nhận tham gia hỗ trợ vụ việc;
Hệ thống ghi nhận lựa chọn và hiển thị thông báo đã xác nhận tham gia hỗ trợ vụ việc.",,,,
,,,"Người hỗ trợ chọn từ chối tham gia hỗ trợ vụ việc;
Hệ thống ghi nhận lựa chọn, hiển thị thông báo đã từ chối tham gia hỗ trợ vụ việc và điều hướng về màn hình chọn người hỗ trợ khác.",,,,
61,Trình phê duyệt hồ sơ vụ việc,"Cán bộ nghiệp vụ TW,BN,ĐP",,Cung cấp quy trình để CB Nghiệp vụ trình Lãnh đạo CQQLNN phê duyệt vụ việc.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn trình phê duyệt hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận trình phê duyệt hồ sơ vụ việc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn xác nhận trình phê duyệt hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và thực hiện trình phê duyệt hồ sơ vụ việc tới cán bộ phê duyệt.",,,,
62,Thông báo kết quả tiếp nhận hồ sơ,"Cán bộ nghiệp vụ TW,BN,ĐP",,Cung cấp chức năng gửi thông báo kết quả kiểm tra hồ sơ (Đạt/Không đạt) cho DNNVV.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lựa chọn vụ việc cần gửi thông báo kết quả tiếp nhận hồ sơ;
Hệ thống kiểm tra điều kiện và hiển thị màn hình gửi thông báo kết quả tiếp nhận hồ sơ.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập nội dung thông báo kết quả tiếp nhận hồ sơ (Đạt/Không đạt) cho DNNVVV;
Hệ thống kiểm tra điều kiện và gửi thông báo kết quả tiếp nhận hồ sơ trên hệ thống tới DNNVVV.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP trình phê duyệt hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận trình phê duyệt hồ sơ vụ việc.",Thêm trans gửi phê duyệt hồ sơ vụ việc,,,xxx
63,Phê duyệt hồ sơ vụ việc,"Cán bộ phê duyệt TW,BN,ĐP",,Cung cấp chức năng để Lãnh đạo CQQLNN xem xét và phê duyệt hồ sơ vụ việc.,B,Đơn giản,
,,,"Cán bộ phê duyệt TW,BN,ĐP phê duyệt hồ sơ vụ việc;
Hệ thống hiển thị màn hình xác nhận phê duyệt hồ sơ vụ việc.",,,,
,,,"Cán bộ phê duyệt TW,BN,ĐP chọn xác nhận phê duyệt hồ sơ vụ việc;
Hệ thống kiểm tra điều kiện và thực hiện xác nhận phê duyệt hồ sơ vụ việc thành công.",,,,
64,Nhận thông báo kết quả tiếp nhận hồ sơ,Doanh nghiệp,,Cung cấp giao diện cho DNNVV nhận thông báo kết quả kiểm tra/tiếp nhận hồ sơ.,B,Đơn giản,
,,,"Doanh nghiệp truy cập chức năng thông báo kết quả tiếp nhận hồ sơ;
Hệ thống hiển thị danh sách thông báo liên quan đến hồ sơ yêu cầu hỗ trợ pháp lý.",,,,
,,,"Doanh nghiệp chọn một thông báo kết quả tiếp nhận hồ sơ để xem chi tiết;
Hệ thống hiển thị nội dung chi tiết kết quả tiếp nhận hồ sơ.",,,,
65,Cập nhật kết quả hỗ trợ vụ việc,Người hỗ trợ,,"Cung cấp công cụ cho Người hỗ trợ cập nhật kết quả, tài liệu, và báo cáo cuối cùng của quá trình hỗ trợ.",B,Đơn giản,
,,,"Người hỗ trợ lựa chọn vụ việc cần cập nhật kết quả hỗ trợ;
Hệ thống kiểm tra điều kiện và hiển thị màn hình cập nhật kết quả hỗ trợ vụ việc.",,,,
,,,"Người hỗ trợ cập nhật kết quả hỗ trợ vụ việc;
Hệ thống kiểm tra điều kiện và lưu lại dữ liệu kết quả hỗ trợ vụ việc.",,,,
66,Cập nhật kết quả vụ việc,"Cán bộ nghiệp vụ TW,BN,ĐP",,Cung cấp chức năng để CB Nghiệp vụ cập nhật trạng thái kết thúc và kết quả cuối cùng của vụ việc.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách vụ việc chờ xác nhận kết quả;
Hệ thống kiểm tra điều kiện và hiển thị danh sách vụ việc chờ xác nhận kết quả.",Xem danh sách vụ việc chờ xác nhận kết quả;,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP thực hiện cập nhật kết quả vụ việc;
Hệ thống kiểm tra điều kiện và lưu lại dữ liệu kết quả vụ việc đã nhập.",,,,
67,Đánh giá kết quả hỗ trợ vụ việc,"Cán bộ nghiệp vụ TW,BN,ĐP/Doanh nghiệp",,Cung cấp chức năng để CB Nghiệp vụ hoặc DNNVV đánh giá chất lượng của quá trình hỗ trợ và kết quả vụ việc.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Doanh nghiệp chọn đánh giá kết quả hỗ trợ vụ việc;
Hệ thống kiểm tra điều kiện và hiển thị thông tin đánh giá kết quả hỗ trợ vụ việc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Doanh nghiệp thực hiện nhập đánh giá kết quả hỗ trợ vụ việc;
Hệ thống kiểm tra điều kiện và lưu lại dữ liệu đánh giá kết quả hỗ trợ vụ việc đã nhập.",,,,
V.II,Quản lý chi trả chi phí tư vấn pháp luật,,,,,,
68,Tiếp nhận hồ sơ đề nghị hỗ trợ chi phí từ DVC trực tuyến,Hệ thống giải quyết thủ tục hành chính BTP,,Quản lý quy trình tiếp nhận hồ sơ đề nghị hỗ trợ chi phí qua hệ thống Dịch vụ công.,M,Trung bình,
,,,"Hệ thống giải quyết thủ tục hành chính BTP gửi hồ sơ đề nghị hỗ trợ chi phí từ DVC trực tuyến sang hệ thống;
Hệ thống tiếp nhận dữ liệu hồ sơ, kiểm tra cấu trúc dữ liệu, định dạng và tính đầy đủ của thông tin.",,,,
,,,"Hệ thống giải quyết thủ tục hành chính BTP hoàn tất việc truyền dữ liệu hồ sơ hợp lệ sang hệ thống;
Hệ thống tiếp nhận đầy đủ dữ liệu, tạo mới hồ sơ đề nghị hỗ trợ chi phí, sinh mã hồ sơ.",,,,
,,,"Hệ thống giải quyết thủ tục hành chính BTP yêu cầu cập nhật trạng thái hồ sơ đề nghị hỗ trợ chi phí;
Hệ thống phản hồi trạng thái tiếp nhận (thành công/thất bại) về Hệ thống giải quyết thủ tục hành chính BTP.",,,,
,,,"Hệ thống giải quyết thủ tục hành chính BTP nhận thông tin kết thúc xử lý tiếp nhận hồ sơ;
Hệ thống lưu trữ hồ sơ và đưa hồ sơ vào danh sách chờ xử lý cho cán bộ nghiệp vụ.",,,,
69,Quản lý hồ sơ đề nghị hỗ trợ chi phí,"Cán bộ nghiệp vụ TW,BN,ĐP",,Quản lý toàn bộ hồ sơ đề nghị hỗ trợ chi phí từ các Tư vấn viên/Tổ chức tư vấn.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách hồ sơ đề nghị hỗ trợ chi phí;
Hệ thống kiểm tra điều kiện và hiển thị danh sách hồ sơ đề nghị hỗ trợ chi phí.",,,,
